gene_id	ref_id
MSTRG.546	Solyc01g008770.3
MSTRG.547	lnc_RNA:Solyc01r001320.1
MSTRG.548	Solyc01g008780.3
MSTRG.549	Solyc01g008790.4
MSTRG.551	Solyc01g008820.3
MSTRG.552	Solyc01g008830.2
MSTRG.553	Solyc01g008840.3
MSTRG.554	Solyc01g008850.3
MSTRG.556	Solyc01g008890.4
MSTRG.557	Solyc01g008900.4
MSTRG.558	Solyc01g008910.2
MSTRG.559	Solyc01g008920.4
MSTRG.560	lnc_RNA:Solyc01r001330.1
MSTRG.561	Solyc01g008930.4
MSTRG.562	Solyc01g008940.2
MSTRG.563	Solyc01g008950.4
MSTRG.564	lnc_RNA:Solyc01r001340.1
MSTRG.566	Solyc01g008970.4
MSTRG.567	Solyc01g008980.3
MSTRG.568	Solyc01g008990.4
MSTRG.569	lnc_RNA:Solyc01r001360.1
MSTRG.570	Solyc01g009000.3
MSTRG.571	Solyc01g009010.3
MSTRG.572	Solyc01g009020.4
MSTRG.573	lnc_RNA:Solyc01r001370.1
MSTRG.574	Solyc01g009030.4
MSTRG.575	Solyc01g009040.4
MSTRG.576	Solyc01g009050.3
MSTRG.577	Solyc01g009060.3
MSTRG.578	Solyc01g009070.3
MSTRG.579	Solyc01g009080.4
MSTRG.580	Solyc01g009090.3
MSTRG.581	Solyc01g009100.4
MSTRG.582	lnc_RNA:Solyc01r001380.1
MSTRG.583	Solyc01g009120.3
MSTRG.584	Solyc01g009145.1
MSTRG.585	Solyc01g009160.2
MSTRG.586	Solyc01g009170.4
MSTRG.587	Solyc01g009180.4
MSTRG.588	Solyc01g009200.4
MSTRG.590	Solyc01g009210.2
MSTRG.591	Solyc01g009220.3
MSTRG.592	Solyc01g009230.4
MSTRG.593	Solyc01g009245.1
MSTRG.594	Solyc01g009250.3
MSTRG.595	Solyc01g009260.1
MSTRG.596	Solyc01g009280.4
MSTRG.597	Solyc01g009290.4
MSTRG.598	Solyc01g009300.3
MSTRG.599	Solyc01g009310.3
MSTRG.600	Solyc01g009320.2
MSTRG.601	Solyc01g009330.1
MSTRG.602	Solyc01g009340.4
MSTRG.603	Solyc01g009350.2
MSTRG.604	Solyc01g009370.2
MSTRG.605	Solyc01g009380.3
MSTRG.606	Solyc01g009390.4
MSTRG.607	Solyc01g009400.3
MSTRG.608	Solyc01g009410.3
MSTRG.609	Solyc01g009420.4
MSTRG.610	Solyc01g009430.3
MSTRG.611	lnc_RNA:Solyc01r001460.1
MSTRG.612	Solyc01g009443.1
MSTRG.613	Solyc01g009447.1
MSTRG.614	Solyc01g009500.4
MSTRG.615	Solyc01g009505.1
MSTRG.616	Solyc01g009520.4
MSTRG.617	Solyc01g009565.1
MSTRG.618	Solyc01g009610.3
MSTRG.619	lnc_RNA:Solyc01r001470.1
MSTRG.620	Solyc01g009620.3
MSTRG.621	lnc_RNA:Solyc01r001480.1
MSTRG.622	Solyc01g009630.3
MSTRG.623	Solyc01g009650.1
MSTRG.624	Solyc01g009670.4
MSTRG.626	Solyc01g009690.3
MSTRG.627	Solyc01g009700.3
MSTRG.628	Solyc01g009705.1
MSTRG.629	Solyc01g009710.1
MSTRG.630	Solyc01g009720.2
MSTRG.631	Solyc01g009750.3
MSTRG.632	lnc_RNA:Solyc01r001530.1
MSTRG.633	Solyc01g009760.3
MSTRG.634	Solyc01g009770.3
MSTRG.635	Solyc01g009780.3
MSTRG.636	Solyc01g009810.3
MSTRG.637	Solyc01g009820.4
MSTRG.638	Solyc01g009850.4
MSTRG.639	Solyc01g009860.3
MSTRG.641	lnc_RNA:Solyc01r001560.1
MSTRG.642	Solyc01g009870.3
MSTRG.643	Solyc01g009900.3
MSTRG.645	Solyc01g009970.3
