"gene_id","ref_id","transcript_id","adj.p","dPSI","time"
"MSTRG.2117","Solyc01g095630.3","MSTRG.2117.1",0.000169129187154517,0.238208328070543,105
"MSTRG.2117","Solyc01g095630.3","MSTRG.2117.1",0.000353968983018116,0.217047975094914,120
"MSTRG.2117","Solyc01g095630.3","MSTRG.2117.2",2.28136438050476e-05,0.363667680819242,80
"MSTRG.2117","Solyc01g095630.3","MSTRG.2117.2",0.00021857133006621,0.349072673806868,90
"MSTRG.2117","Solyc01g095630.3","MSTRG.2117.2",0.000124580009383514,0.359918435481635,105
"MSTRG.2117","Solyc01g095630.3","MSTRG.2117.2",0.000185572724479556,0.332810120247477,120
"MSTRG.2117","Solyc01g095630.3","Solyc01g095630.3.1",0.00026629407000548,-0.348068761343172,60
"MSTRG.2117","Solyc01g095630.3","Solyc01g095630.3.1",5.31213530614037e-05,-0.390084735753956,70
"MSTRG.2117","Solyc01g095630.3","Solyc01g095630.3.1",1.60972787949645e-08,-0.530154676699148,80
"MSTRG.2117","Solyc01g095630.3","Solyc01g095630.3.1",2.79557164602132e-06,-0.457331043086671,90
"MSTRG.2117","Solyc01g095630.3","Solyc01g095630.3.1",3.54402227073812e-08,-0.598126763552178,105
"MSTRG.2117","Solyc01g095630.3","Solyc01g095630.3.1",1.36801409187589e-07,-0.549858095342391,120
"MSTRG.2122","Solyc01g095700.3","MSTRG.2122.1",0.000121241552473288,-0.155256852622283,30
"MSTRG.2122","Solyc01g095700.3","MSTRG.2122.1",0.000111114444587511,-0.121222733555097,40
"MSTRG.2122","Solyc01g095700.3","Solyc01g095700.3.1",0.000121241552473288,0.155256852622283,30
"MSTRG.2122","Solyc01g095700.3","Solyc01g095700.3.1",0.000111114444587511,0.121222733555097,40
"MSTRG.2425","Solyc01g098910.3","MSTRG.2425.1",5.73114050063555e-05,-0.252329830153231,5
"MSTRG.2425","Solyc01g098910.3","MSTRG.2425.1",4.15642191905121e-06,-0.295763828602306,10
"MSTRG.2425","Solyc01g098910.3","MSTRG.2425.1",1.77581820798007e-06,-0.291297043857357,15
"MSTRG.2425","Solyc01g098910.3","MSTRG.2425.1",3.871707023847e-05,-0.24096309325026,25
"MSTRG.2425","Solyc01g098910.3","MSTRG.2425.1",0.000743366156942144,0.252411302980489,50
"MSTRG.2425","Solyc01g098910.3","MSTRG.2425.1",9.53752268565202e-05,0.155610739688622,60
"MSTRG.2425","Solyc01g098910.3","MSTRG.2425.1",0.000769127429595394,0.194387852498867,70
"MSTRG.2425","Solyc01g098910.3","MSTRG.2425.1",0.00036092246003385,0.135910674892702,80
"MSTRG.2425","Solyc01g098910.3","MSTRG.2425.1",9.40247666632699e-05,0.222247617916195,90
"MSTRG.2425","Solyc01g098910.3","MSTRG.2425.1",4.43301534952869e-08,0.40252616634238,105
"MSTRG.2425","Solyc01g098910.3","MSTRG.2425.1",3.60389010211879e-06,0.275699120599759,120
"MSTRG.2425","Solyc01g098910.3","Solyc01g098910.3.1",5.73114050063555e-05,0.252329830153232,5
"MSTRG.2425","Solyc01g098910.3","Solyc01g098910.3.1",4.15642191905121e-06,0.295763828602306,10
"MSTRG.2425","Solyc01g098910.3","Solyc01g098910.3.1",1.77581820798007e-06,0.291297043857357,15
"MSTRG.2425","Solyc01g098910.3","Solyc01g098910.3.1",3.871707023847e-05,0.24096309325026,25
"MSTRG.2425","Solyc01g098910.3","Solyc01g098910.3.1",0.000743366156942144,-0.25241130298049,50
"MSTRG.2425","Solyc01g098910.3","Solyc01g098910.3.1",9.53752268565202e-05,-0.155610739688621,60
"MSTRG.2425","Solyc01g098910.3","Solyc01g098910.3.1",0.000769127429595394,-0.194387852498867,70
"MSTRG.2425","Solyc01g098910.3","Solyc01g098910.3.1",0.00036092246003385,-0.135910674892702,80
"MSTRG.2425","Solyc01g098910.3","Solyc01g098910.3.1",9.40247666632699e-05,-0.222247617916195,90
"MSTRG.2425","Solyc01g098910.3","Solyc01g098910.3.1",4.43301534952869e-08,-0.40252616634238,105
"MSTRG.2425","Solyc01g098910.3","Solyc01g098910.3.1",3.60389010211879e-06,-0.275699120599759,120
"MSTRG.2538","Solyc01g100200.3","MSTRG.2538.1",0.000814793739194952,0.341255370494444,70
"MSTRG.2538","Solyc01g100200.3","MSTRG.2538.1",0.000490513616776366,0.329003766644369,80
"MSTRG.2538","Solyc01g100200.3","Solyc01g100200.3.1",0.000814793739194952,-0.341255370494444,70
"MSTRG.2538","Solyc01g100200.3","Solyc01g100200.3.1",0.000490513616776366,-0.329003766644369,80
"MSTRG.2637","Solyc01g102270.2","MSTRG.2637.2",0.000803935161159925,0.148832962917343,80
"MSTRG.2637","Solyc01g102270.2","MSTRG.2637.2",9.53190864237813e-05,0.177359519698394,90
"MSTRG.2637","Solyc01g102270.2","MSTRG.2637.2",0.000666375926732666,0.165044815691424,105
"MSTRG.2637","Solyc01g102270.2","Solyc01g102270.2.1",0.000509034705703349,-0.124663211694855,10
"MSTRG.2637","Solyc01g102270.2","Solyc01g102270.2.1",0.0004226118086531,-0.152755297680828,15
"MSTRG.2637","Solyc01g102270.2","Solyc01g102270.2.1",5.6052960677919e-08,-0.194970549132045,20
"MSTRG.2637","Solyc01g102270.2","Solyc01g102270.2.1",3.31055682553929e-07,-0.203158078077785,25
"MSTRG.2637","Solyc01g102270.2","Solyc01g102270.2.1",6.90818072824572e-06,-0.172755002028128,30
"MSTRG.2637","Solyc01g102270.2","Solyc01g102270.2.1",0.000550757296322893,-0.104893305397904,40
